ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
E7928EEB296AE7E4,classic_bike,2023-08-02 17:25:51,2023-08-02 17:28:19,Grand Concourse & E Mosholu Pkwy S,8795.03,Grand Concourse & E 203 St,8734.04,40.877964,-73.8847550291,40.87382,-73.88661,member
5433896EDCA3F41D,classic_bike,2023-08-06 23:48:15,2023-08-06 23:50:57,Allen St & Stanton St,5484.09,Orchard St & Grand St,5343.11,40.721834064,-73.989195347,40.717318403855785,-73.99067759513855,member
7F431455C11A8CA7,classic_bike,2023-08-23 18:13:28,2023-08-23 18:19:33,Greenwich St & Perry St,5922.04,W 20 St & 7 Ave,6182.02,40.73498,-74.00697,40.74238787,-73.99726235,member
A84C9FDE96E7A049,classic_bike,2023-08-18 02:08:12,2023-08-18 02:14:39,7 Ave & 41 St,3192.05,52 St & 6 Ave,3084.05,40.647241592,-74.001072884,40.642703,-74.009441,casual
1490F9C6783CBDE3,classic_bike,2023-08-31 22:54:46,2023-08-31 23:20:09,E 10 St & 2 Ave,5746.02,Crescent St & Broadway,6827.11,40.729530334,-73.986656904,40.7633589,-73.9286471,casual
314C586C31B77589,classic_bike,2023-08-07 16:08:37,2023-08-07 16:20:38,E 10 St & Avenue A,5659.05,Greenwich Ave & Charles St,5914.08,40.72740794,-73.98142006,40.735238,-74.000271,casual
0B1A0DAE80621A87,classic_bike,2023-08-03 11:29:30,2023-08-03 11:47:50,21 St & Hoyt Ave S,7126.01,5 St & 51 Ave,6137.04,40.774689436,-73.923644423,40.7423737,-73.9566,member
8B94EF5279464690,classic_bike,2023-08-30 18:28:33,2023-08-30 18:33:14,Prospect Park W & 20 St,3507.04,6 Ave & 12 St,3803.05,40.656728029,-73.98374331,40.6663181,-73.9854617,member
C7409B52079C88A9,classic_bike,2023-08-09 19:05:08,2023-08-09 19:07:04,E 16 St & 5 Ave,6022.04,Broadway & E 21 St,6098.10,40.73726186,-73.99238967,40.73988840858996,-73.98958593606949,member
2135D2088DEF6CB7,classic_bike,2023-08-18 17:17:31,2023-08-18 17:19:03,South St & Pike St,5159.07,South St & Pike St,5159.07,40.709924579,-73.991595149,40.70991806921533,-73.99161100387573,member
BE6F94A69AD804F8,classic_bike,2023-08-14 11:16:32,2023-08-14 11:47:18,E 6 St & Avenue B,5584.04,3 St & 3 Ave,4028.03,40.72475481,-73.981964588,40.6750705,-73.98775226,member
802E4691A372A4BA,classic_bike,2023-08-28 18:52:49,2023-08-28 19:12:46,E 149 St & Eagle Ave,7793.02,Wales Ave & E 147 St,7751.05,40.814156771,-73.91204989,40.811314,-73.907729,member
